episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,train_touch_count,mean_critic_loss,mean_actor_loss,mean_actor_entropy,epsilon,eval_self_play_adversary_return,eval_self_play_prey_return,eval_adv_vs_random_prey_adversary_return,eval_adv_vs_random_prey_prey_return,eval_random_adv_vs_prey_adversary_return,eval_random_adv_vs_prey_prey_return,eval_self_play_touch_count,eval_adv_vs_random_prey_touch_count,eval_random_adv_vs_prey_touch_count
123,12300,0.0,-101.24429745620552,0.0,0.0,0.0,-101.24429745620552,0.0,0.01045962238276843,-0.022824133280664682,1.5633333623409271,0.906625,,,,,,,,,
124,12400,0.0,-668.7501498167403,0.0,0.0,0.0,-668.7501498167403,0.0,0.007757127983495593,-6.745243445038795e-05,1.5755663812160492,0.9055,,,,,,,,,
125,12500,0.0,-655.6807152153345,0.0,0.0,0.0,-655.6807152153345,0.0,0.008040644795983098,0.001891088206321001,1.5734820067882538,0.904375,,,,,,,,,
126,12600,0.0,-45.53663442497628,0.0,0.0,0.0,-45.53663442497628,0.0,0.008114308111544233,0.015503269154578447,1.5806816518306732,0.90325,,,,,,,,,
127,12700,0.0,-125.51494596347635,0.0,0.0,0.0,-125.51494596347635,0.0,0.0032508213189430535,0.0028086043894290924,1.5626783072948456,0.902125,,,,,,,,,
128,12800,0.0,-476.72588876299204,0.0,0.0,0.0,-476.72588876299204,0.0,0.002605336281703785,0.018005836522206664,1.5799281895160675,0.901,,,,,,,,,
129,12900,0.0,-749.5058236070926,0.0,0.0,0.0,-749.5058236070926,0.0,0.0012280068767722696,0.021827895659953356,1.5804243087768555,0.899875,,,,,,,,,
130,13000,0.0,-128.2484376015533,0.0,0.0,0.0,-128.2484376015533,0.0,0.011167658703925554,0.023019832326099277,1.5795434713363647,0.8987499999999999,,,,,,,,,
131,13100,0.0,-126.70236916209558,0.0,0.0,0.0,-126.70236916209558,0.0,0.004343539796536788,0.022376985289156437,1.5788176953792572,0.897625,,,,,,,,,
132,13200,0.0,-201.8519260537179,0.0,0.0,0.0,-201.8519260537179,0.0,0.007073337794281542,0.0031613341998308897,1.5705625712871552,0.8965,,,,,,,,,
133,13300,300.0,-112.55341323089722,100.0,100.0,100.0,-112.55341323089722,30.0,0.007963348944031168,-0.0016540195792913437,1.5630834698677063,0.895375,,,,,,,,,
134,13400,0.0,-211.51795417513398,0.0,0.0,0.0,-211.51795417513398,0.0,0.006743096804711968,-0.030093577690422535,1.565561980009079,0.89425,,,,,,,,,
135,13500,0.0,-9.953660937682127,0.0,0.0,0.0,-9.953660937682127,0.0,0.008829094309476204,-0.004272047430276871,1.5641511976718903,0.893125,,,,,,,,,
136,13600,90.0,-181.16849497015522,30.0,30.0,30.0,-181.16849497015522,9.0,0.005212083284277469,-0.0018653525039553642,1.565685212612152,0.892,,,,,,,,,
137,13700,90.0,-30.0,30.0,30.0,30.0,-30.0,9.0,0.009047334926435724,-0.0035951100289821625,1.5673555135726929,0.890875,,,,,,,,,
138,13800,60.0,-175.0756146487201,20.0,20.0,20.0,-175.0756146487201,6.0,0.003268372929596808,0.017394096590578556,1.578675389289856,0.88975,,,,,,,,,
139,13900,90.0,-30.0,30.0,30.0,30.0,-30.0,9.0,0.008483960016747005,-0.027324440889060497,1.5660680532455444,0.888625,,,,,,,,,
140,14000,30.0,-369.2981373349697,10.0,10.0,10.0,-369.2981373349697,3.0,0.00616778242692817,-0.002945130690932274,1.569581151008606,0.8875,,,,,,,,,
141,14100,0.0,-97.21505222547816,0.0,0.0,0.0,-97.21505222547816,0.0,0.008092638963717036,-0.028862152248620987,1.5663647651672363,0.886375,,,,,,,,,
142,14200,0.0,-96.62786636015952,0.0,0.0,0.0,-96.62786636015952,0.0,0.008272750550531782,-0.005457231309264898,1.5688563585281372,0.88525,,,,,,,,,
143,14300,60.0,-35.38390738840981,20.0,20.0,20.0,-35.38390738840981,6.0,0.008245559860370122,-0.006036910228431225,1.567366898059845,0.884125,,,,,,,,,
144,14400,90.0,-30.135571216839693,30.0,30.0,30.0,-30.135571216839693,9.0,0.011072015993704554,-0.006241638213396072,1.5691718459129333,0.883,,,,,,,,,
145,14500,90.0,-160.1215930591533,30.0,30.0,30.0,-160.1215930591533,9.0,0.009496494749328122,-0.029559974558651447,1.5656829476356506,0.881875,,,,,,,,,
146,14600,0.0,-211.5615615376087,0.0,0.0,0.0,-211.5615615376087,0.0,0.0040115938245435245,0.013915458461269736,1.5762327313423157,0.88075,,,,,,,,,
147,14700,0.0,-12.62377471797048,0.0,0.0,0.0,-12.62377471797048,0.0,0.0029959932653582655,0.01879962463863194,1.5760840773582458,0.879625,,,,,,,,,
148,14800,0.0,-148.96614062552877,0.0,0.0,0.0,-148.96614062552877,0.0,0.00638139083457645,-0.005432071164250374,1.567230463027954,0.8785,,,,,,,,,
