update,episode,total_steps,train_team_return,td_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,eval_team_return,eval_mean_agent_return
101,24,1200,-57.662385000692275,2.1735713481903076,32.52118682861328,20.23917007446289,7.107668399810791,36.98332595825195,20.407512664794922,6.813558578491211,35.08671951293945,0.6399999999999999,,
102,25,1210,-3.5727251629467,1.9838788509368896,28.379104614257812,21.576662063598633,7.039380073547363,36.62419128417969,21.146038055419922,5.6021857261657715,31.14728546142578,0.637,,
103,25,1220,-9.131826478923605,1.6764476299285889,32.030052185058594,21.64644432067871,5.701474666595459,35.14148712158203,22.061038970947266,5.272026062011719,34.00674057006836,0.634,,
104,25,1230,-24.39587493345961,2.5863866806030273,31.091876983642578,21.35123634338379,6.773553371429443,34.71783447265625,20.728694915771484,7.644172668457031,34.57188034057617,0.631,,
105,25,1240,-44.333207121429524,1.6162937879562378,20.928728103637695,21.287067413330078,5.228814125061035,32.931087493896484,21.05614471435547,5.963516712188721,34.589996337890625,0.628,,
106,25,1250,-74.57203682138929,1.8890047073364258,35.71226501464844,20.1839599609375,6.535031318664551,36.349639892578125,20.851634979248047,6.576709270477295,38.13427734375,0.625,,
107,26,1260,-11.535697417034896,1.701683759689331,28.231670379638672,19.935190200805664,6.179676532745361,34.33319091796875,20.63593864440918,6.690358638763428,33.509117126464844,0.622,,
108,26,1270,-23.054479144564308,2.9190633296966553,28.017549514770508,20.3358154296875,6.306417465209961,38.46467971801758,19.215131759643555,7.271473407745361,34.19989013671875,0.619,,
109,26,1280,-33.543048455843966,1.5948798656463623,26.852638244628906,22.057939529418945,6.518666744232178,39.60662078857422,22.111974716186523,6.741871356964111,44.476776123046875,0.616,,
110,26,1290,-44.560888848189656,2.022948741912842,32.40714645385742,20.632495880126953,7.208575248718262,46.7506103515625,20.3061466217041,6.8489837646484375,45.72049331665039,0.613,,
111,26,1300,-60.46504504463991,2.4979515075683594,37.14242935180664,19.945903778076172,5.450350761413574,31.156465530395508,19.236705780029297,5.647685527801514,32.1147575378418,0.61,,
112,27,1310,-13.358824925882432,1.6914634704589844,29.389915466308594,20.66849136352539,5.550664901733398,33.7711067199707,20.250301361083984,6.210210800170898,34.30441665649414,0.607,,
113,27,1320,-30.017004745292105,1.9766716957092285,29.71077537536621,21.0594482421875,6.92637300491333,38.55934524536133,20.784509658813477,6.901058673858643,34.53486251831055,0.604,,
114,27,1330,-52.565643942649224,1.997338891029358,33.256248474121094,19.495405197143555,6.279135227203369,35.11845397949219,18.764541625976562,6.4785966873168945,32.4380989074707,0.601,,
115,27,1340,-81.53755088878168,1.8038582801818848,26.439924240112305,21.29416275024414,6.958211421966553,45.640289306640625,21.17763900756836,6.714816570281982,45.95145034790039,0.598,,
116,27,1350,-110.84192278760699,2.652451753616333,33.97096252441406,22.376846313476562,7.975189685821533,46.88408279418945,21.26813507080078,7.902838706970215,44.768333435058594,0.595,,
117,28,1360,-9.262215295760818,2.357213020324707,31.313623428344727,21.189956665039062,5.8888702392578125,36.54219436645508,20.439599990844727,6.454285144805908,33.099700927734375,0.5920000000000001,,
118,28,1370,-19.891680408262754,2.2455382347106934,30.550682067871094,20.531024932861328,6.468038558959961,44.706275939941406,20.338674545288086,5.496506214141846,32.03659439086914,0.589,,
119,28,1380,-31.017749278852108,1.7747271060943604,29.327594757080078,22.38432502746582,6.161771774291992,36.60169219970703,22.851844787597656,6.017012596130371,32.251502990722656,0.586,,
